Smile,emoticon_smile
Frown,emoticon_frown
Tongue,emoticon_tongue
Grin,emoticon_grin
Gasp,emoticon_gasp
Wink,emoticon_wink
Glasses,emoticon_glasses
Sunglasses,emoticon_sunglasses
Grumpy,emoticon_grumpy
Unsure,emoticon_unsure
Cry,emoticon_cry
Devil,emoticon_devil
Angel,emoticon_angel
Kiss,emoticon_kiss
Kiki,emoticon_kiki
Squint,emoticon_squint
Confused,emoticon_confused
Upset,emoticon_upset
Pacman,emoticon_pacman
Curly lips,emoticon_colonthree
Heart,emoticon_heart
Robot,emoticon_robot
Penguin,emoticon_penguin
Putnam,emoticon_putnam
Shark,emoticon_shark
Like,emoticon_like
Poop,emoticon_poop
Sun with rays,_2h7
Cloud,_2h8
Umbrella with rain drops,_2h9
Snowman,_2h3
High voltage sign,_2h2
Cyclone,_2b_
Closed umbrella,_2c0
Starry night,_4_og
Sunrise over mountains,_4_oh
Sunrise,_4_oi
Cityscape at dusk,_4_oj
Sunset over buildings,_4_ok
Rainbow,_4_ol
Water wave,_2c1
Crescent moon,_2c2
Glowing star,_2c3
Four leaf clover,_2cd
Tulip,_2c7
Seedling,_2c4
Maple leaf,_2ce
Cherry blossom,_2c8
Rose,_2c9
Fallen leaf,_2cf
Leaf fluttering in wind,_2cg
Hibiscus,_2ca
Sunflower,_2cb
Palm tree,_2c5
Cactus,_2c6
Ear of rice,_2cc
Red apple,_2ci
Tangerine,_2ch
Strawberry,_2cj
Watermelon,_4_oo
Tomato,_4_om
Eggplant,_4_on
Eyes,_2dx
Ear,_2dy
Nose,_2dz
Mouth,_2d-
Lipstick,_4_qm
Nail polish,_2ey
Barber pole,_4_qn
Boy,_2eb
Girl,_2ec
Man,_2ed
Woman,_2ee
Man and woman holding hands,_2ef
Police officer,_2eg
Woman with bunny ears,_2eh
Person with blond hair,_2ei
Man with gua pi mao,_2ej
Man with turban,_2ek
Older man,_2el
Older woman,_2em
Baby,_2en
Construction worker,_2eo
Princess,_2ep
Ghost,_2eq
Baby angel,_2er
Extraterrestrial alien,_2es
Alien monster,_2et
Imp,_2eu
Skull,_2ev
Guardsman,_2ew
Dancer,_2ex
Snake,_2c_
Horse,_2d0
Chicken,_2d3
Boar,_2d4
Bactrian camel,_2dh
Elephant,_2d5
Koala,_2df
Monkey,_2d2
Sheep,_2d1
Octopus,_2d6
Spiral shell,_2d7
Bug,_2d8
Tropical fish,_2da
Blowfish,_2db
Baby chick,_2dc
Bird,_2dd
Penguin,_2de
Poodle,_2dg
Fish,_2d9
Dolphin,_2di
Mouse face,_2dj
Tiger face,_2dl
Cat face,_2dn
Spouting whale,_2do
Horse face,_2dp
Monkey face,_2dq
Dog face,_491
Pig face,_2dr
Bear face,_2dv
Hamster face,_2dt
Wolf face,_2du
Cow face,_2dk
Rabbit face,_2dm
Frog face,_2ds
Footprints,_2dw
Angry face,_2g9
Weary face,_2gg
Astonished face,_2gm
Disappointed face,_2g8
Face with cold sweat,_2gk
Unamused face,_2g0
Smiling face with heart-shaped eyes,_2f-
Face with teeth,_2gd
Face with tongue and winking,_2g6
Face with tongue and closed eyes,_2g7
Face savoring delicious food,_2fy
Face throwing a kiss,_2g4
Kissing face with closed eyes,_2g5
Face with medical mask,_2gp
Flushed face,_2gn
Smiling face with open mouth,_2fu
Face with tears of joy,_2ft
Smiling face,_2h1
Smiling face with smiling eyes,_2fv
Crying face,_2gb
Loudly crying face,_2gj
Fearful face,_2gf
Pouting face,_2ga
Relieved face,_2fz
Confounded face,_2g3
Face screaming in fear,_2gl
Sleepy face,_2gh
Smirking face,_2f_
Face with sweat,_2g1
Disappointed but relieved face,_2ge
Tired face,_2gi
Winking face,_2fx
House,_4_px
House with garden,_4_py
Office building,_4_pz
Japanese post office,_4_p-
Hospital,_4_p_
Bank,_4_q0
Automated teller machine,_4_q1
Hotel,_4_q2
Love hotel,_4_q3
Convenience store,_4_q4
School,_4_q5
Church,_4_tc
Fountain,_4_td
Department store,_4_q6
Japanese castle,_4_q8
European castle,_4_q9
Factory,_4_q7
Mount fuji,_4_s5
Tokyo tower,_4_s6
Statue of liberty,_4_s7
Athletic shoe,_4_qi
High-heeled shoe,_4_qj
Womans sandal,_4_qk
Womans boot,_4_ql
T-shirt,_4_qd
Crown,_4_qa
Necktie,_4_qc
Womans hat,_4_qb
Dress,_4_qe
Kimono,_4_qf
Bikini,_4_qg
Handbag,_4_qh
Money bag,_4_q-
Dollar sign,_4_q_
Banknote with yen sign,_4_r0
Banknote with dollar sign,_4_r1
