Smile,:),:],=),:-)
Frown,:(,:[,=(,:-(
Tongue,:p,:P,=P,:-p,:-P
Grin,:D,=D,:-D
Gasp,:o,:O,:-o,:-O
Wink,;),;-)
Glasses,8-) B-)
Sunglasses,8| B|,8-| B-|
Grumpy,>:(,>:-(
Unsure,:/,:\,:-/,:-\
Cry,:'(
Devil,3:),3:-)
Angel O:) O:-)
Kiss,:*,:-*
Kiki,^_^
Squint,-_-
Confused o.O,O.o
Upset,>:o,>:O,>:-O,>:-o
Pacman,:v
Curly lips,:3
Heart,<3
Robot,:|]
Penguin,<(")
Putnam,:putnam:
Shark,(^^^)
Like,(y),(Y)
Poop,:poop:
Sun with rays,☀
Cloud,☁
Umbrella with rain drops,☔
Snowman,⛄
High voltage sign,⚡
Cyclone,🌀
Closed umbrella,🌂
Starry night,🌃
Sunrise over mountains,🌄
Sunrise,🌅
Cityscape at dusk,🌆
Sunset over buildings,🌇
Rainbow,🌈
Water wave,🌊
Crescent moon,🌙
Glowing star,🌟
Four leaf clover,🍀
Tulip,🌷
Seedling,🌱
Maple leaf,🍁
Cherry blossom,🌸
Rose,🌹
Fallen leaf,🍂
Leaf fluttering in wind,🍃
Hibiscus,🌺
Sunflower,🌻
Palm tree,🌴
Cactus,🌵
Ear of rice,🌾
Red apple,🍎
Tangerine,🍊
Strawberry,🍓
Watermelon,🍉
Tomato,🍅
Eggplant,🍆
Eyes,👀
Ear,👂
Nose,👃
Mouth,👄
Lipstick,💄
Nail polish,💅
Barber pole,💈
Boy,👦
Girl,👧
Man,👨
Woman,👩
Man and woman holding hands,👫
Police officer,👮
Woman with bunny ears,👯
Person with blond hair,👱
Man with gua pi mao,👲
Man with turban,👳
Older man,👴
Older woman,👵
Baby,👶
Construction worker,👷
Princess,👸
Ghost,👻
Baby angel,👼
Extraterrestrial alien,👽
Alien monster,👾
Imp,👿
Skull,💀
Guardsman,💂
Dancer,💃
Snake,🐍
Horse,🐎
Chicken,🐔
Boar,🐗
Bactrian camel,🐫
Elephant,🐘
Koala,🐨
Monkey,🐒
Sheep,🐑
Octopus,🐙
Spiral shell,🐚
Bug,🐛
Tropical fish,🐠
Blowfish,🐡
Baby chick,🐥
Bird,🐦
Penguin,🐧
Poodle,🐩
Fish,🐟
Dolphin,🐬
Mouse face,🐭
Tiger face,🐯
Cat face,🐱
